"Album","Track No.","Track Title","Rating","Moods"
"Final Fantasy VII Remake: Mini","1","The Prelude","6.0","None"
"Final Fantasy VII Remake: Mini","2","Tifa's Theme","8.0","None"
"Final Fantasy VII Remake: Mini","3","Shinra's Theme","6.0","None"
"Final Fantasy VII Remake: Mini","4","Scorpion Sentinel","10.0","None"
"Final Fantasy VII Remake: Mini","5","On Our Way","6.0","None"
"Final Fantasy VII Remake: Mini","6","The Turks' Theme","6.0","None"
"Final Fantasy VII Remake: Mini","7","Let the Battles Begin!","10.0","None"
"Final Fantasy VII Remake: Mini","8","Flowers Blooming in the Church","8.0","None"
"Final Fantasy VII Remake: Mini","9","Hurry!","8.0","None"
"Final Fantasy VII Remake: Mini","10","Main Theme of FINAL FANTASY VII","6.0","None"
"Final Fantasy VII Remake: Mini","11","Lay Down Some Rubber","10.0","None"
"Final Fantasy VII Remake: Mini","12","Stand Up","6.0","None"
"Final Fantasy VII Remake: Original Soundtrack Plus","1","Bombing Mission - Infiltration","10.0","Dramatic, Nocturnal, Yearning"
"Final Fantasy VII Remake: Original Soundtrack Plus","2","Anxiety - False Memories","6.0","Angst-Ridden, Eerie, Nocturnal, Gloomy"
"Final Fantasy VII Remake: Original Soundtrack Plus","3","Black Feather","4.0","Eerie, Ominous"
"Final Fantasy VII Remake: Original Soundtrack Plus","4","First Contact","4.0","Ominous"
"Final Fantasy VII Remake: Original Soundtrack Plus","5","The Whispers Attack","6.0","Aggressive, Fight, Gritty"
"Final Fantasy VII Remake: Original Soundtrack Plus","6","An Omen","4.0","Ominous"
"Final Fantasy VII Remake: Original Soundtrack Plus","7","RUN RUN RUN - Instrumental Ver.","6.0","Earthy, Happy, Theatrical"
"Final Fantasy VII Remake: Original Soundtrack Plus","8","RUN RUN RUN - Mellow Ver.","6.0","Happy, Laid-Back/Mellow, Theatrical"
"Final Fantasy VII Remake: Original Soundtrack Plus","9","Disquiet","4.0","Gloomy, Nocturnal"
"Final Fantasy VII Remake: Original Soundtrack Plus","10","Flying Over the Undercity","8.0","Yearning, Happy, Sentimental"
"Final Fantasy VII Remake: Original Soundtrack Plus","11","Hurry! - Time's Up","6.0","Dramatic, Nocturnal, Gritty"
"Final Fantasy VII Remake: Original Soundtrack Plus","12","Hurry! - Success","8.0","Aggressive, Intense, Dramatic"
"Final Fantasy VII Remake: Original Soundtrack Plus","13","Heidegger's Frustration","6.0","Gloomy, Nocturnal"
"Final Fantasy VII Remake: Original Soundtrack Plus","14","I'm Sick of All of This","6.0","Eerie, Gloomy"
"Final Fantasy VII Remake: Original Soundtrack Plus","15","Trapped Like Rats","8.0","Gloomy, Aggressive, Nocturnal"
"Final Fantasy VII Remake: Original Soundtrack Plus","16","Let the Battles Begin! - A Merc's Job","10.0","Aggressive, Fight, Dramatic"
"Final Fantasy VII Remake: Original Soundtrack Plus","17","Mako Reactor 5","8.0","Gloomy, Nocturnal, Fight, Aggressive"
"Final Fantasy VII Remake: Original Soundtrack Plus","18","Eyes of a SOLDIER","8.0","Nocturnal, Earnest, Aggressive"
"Final Fantasy VII Remake: Original Soundtrack Plus","19","The Airbuster","10.0","Aggressive, Fight, Intense"
"Final Fantasy VII Remake: Original Soundtrack Plus","20","Fall to the Slums","4.0","Gloomy, Dramatic"
"Final Fantasy VII Remake: Original Soundtrack Plus","21","Fleeing the Church","8.0","Angst-Ridden, Intense, Dramatic"
"Final Fantasy VII Remake: Original Soundtrack Plus","22","Respite in the Rafters","6.0","Earthy, Gloomy, Plaintive"
"Final Fantasy VII Remake: Original Soundtrack Plus","23","Under the Rotting Pizza - Battle Edit","8.0","Fight, Gritty, Earthy"
"Final Fantasy VII Remake: Original Soundtrack Plus","24","Rude Arrives","6.0","Dramatic, Angst-Ridden, Ominous"
"Final Fantasy VII Remake: Original Soundtrack Plus","25","Anxiety - Sector 5 Undercity","6.0","Elegant, Plaintive, Sentimental, Angst-Ridden"
"Final Fantasy VII Remake: Original Soundtrack Plus","26","Aerith's House","8.0","Elegant, Sentimental, Gloomy"
"Final Fantasy VII Remake: Original Soundtrack Plus","27","Those Days are Gone","4.0","Plaintive, Sentimental"
"Final Fantasy VII Remake: Original Soundtrack Plus","28","Man in the Black Robe","4.0","Ominous, Angst-Ridden, Eerie"
"Final Fantasy VII Remake: Original Soundtrack Plus","29","Elmyra's Request","6.0","Earnest, Plaintive, Sentimental"
